DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA,2020,105.06,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA,2021,107.78,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA,2022,116.82,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA19,2013,99.38,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA19,2014,99.81,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA19,2015,100.00,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA19,2016,100.23,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA19,2017,101.78,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA19,2018,103.56,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA19,2019,104.80,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA19,2020,105.06,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA19,2021,107.78,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA19,2022,116.82,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA20,2013,99.39,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA20,2014,99.81,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA20,2015,100.00,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA20,2016,100.23,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA20,2017,101.77,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA20,2018,103.55,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA20,2019,104.79,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA20,2020,105.05,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA20,2021,107.77,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EA20,2022,116.83,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EE,2013,99.46,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EE,2014,99.93,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EE,2015,100.00,
ESTAT:PRC_HICP_AIND$DEFAULTVIEW(1.0),17/03/23 11:00:00,A,INX_A_AVG,CP00,EE,2016,100.80,
